Cluster,Feature_set_index,Feature_set_code,Model,train_rmse,val_rmse,train_r2,val_r2,overfit,bias,best_params,grid_best_score
all_data,30,G1 + species + Physicochemical + PCs,XGB,0.13478718928932318,0.29904913477942885,0.9278605528436413,0.677612068579237,0.2502484842644044,-0.005028284532212082,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3758309343182072
all_data,31,G1 + species + Fps + PCs,LR,0.37665696181835207,0.46899276803247947,0.4366639120015423,0.2070862174615138,0.22957769454002852,-0.012678991258813868,,
all_data,31,G1 + species + Fps + PCs,RF,0.2393251238646493,0.3339807893700732,0.7725676911245141,0.5978976151815419,0.17467007594297213,-0.016610396277917716,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3921408562560242
all_data,31,G1 + species + Fps + PCs,XGB,0.14227511466895618,0.3048979891950261,0.9196226906094609,0.6648781108438934,0.2547445797655675,-0.0073760884982287675,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.38021786971030797
all_data,32,G1 + species + Physicochemical + Fps + PCs,LR,0.37545484664511836,0.46997993526749415,0.44025399146820765,0.2037447489365798,0.23650924253162786,-0.01246181218112201,,
all_data,32,G1 + species + Physicochemical + Fps + PCs,RF,0.24073996340011292,0.3512521258816161,0.7698706790820695,0.5552339819340504,0.21463669714801914,-0.01925723598806673,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39725906840675723
all_data,32,G1 + species + Physicochemical + Fps + PCs,XGB,0.13815555446983896,0.2979608190820134,0.924209935624911,0.6799543018223979,0.24425563380251314,-0.0074700014029245075,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.37966891224842
all_data,33,G2 + species,LR,0.4774424150404375,0.5350842406768551,0.0948562184881735,-0.03213854212963008,0.12699476061780357,-0.02134283369964518,,
all_data,33,G2 + species,RF,0.34744542826131963,0.47047533361916377,0.5206543631180434,0.20206522430954654,0.3185891388084968,-0.016332882202588928,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.43965650183044175
all_data,33,G2 + species,XGB,0.3630859094539948,0.46546636984265294,0.4765269038200004,0.21896536675201217,0.25756153706798823,-0.018206639219044456,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.44132909881188637
all_data,34,G2 + species + Physicochemical,LR,0.45484103896740186,0.5447438940511751,0.17852403471983447,-0.06974044787431777,0.24826448259415224,-0.023501870226653024,,
all_data,34,G2 + species + Physicochemical,RF,0.23266888759844162,0.3617477581452167,0.7850426979837025,0.5282571006804229,0.25678559730327966,-0.016816718588749446,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39621084677328394
all_data,34,G2 + species + Physicochemical,XGB,0.1312927291546827,0.2913341423262265,0.931552604465788,0.6940316933479949,0.23752091111779317,-0.009200496376161023,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.37642938078553584
all_data,35,G2 + species + Fps,LR,0.3765899360482213,0.46853530753802797,0.4368643844709955,0.20863229600254585,0.22823208846844967,-0.012770831822926591,,
all_data,35,G2 + species + Fps,RF,0.2757148629020657,0.3365982639529978,0.6981466973730864,0.5915702029210859,0.10657649445200057,-0.018289982155650374,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.38912888052236116
all_data,35,G2 + species + Fps,XGB,0.18791838119794557,0.2817540277349418,0.859778663956584,0.7138235174565641,0.14595514650001984,-0.009262599116690471,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.3852214528603974
all_data,36,G2 + species + PCs,LR,0.443780553501067,0.5232004805184033,0.21799035307572212,0.013198176060796096,0.20479217701492602,-0.01941942450836056,,
all_data,36,G2 + species + PCs,RF,0.22073154451103505,0.32566631281329006,0.8065341214339212,0.6176691437783874,0.18886497765553378,-0.014682079635697017,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39143895218935115
all_data,36,G2 + species + PCs,XGB,0.13894548575816396,0.3069930091323289,0.923340768987413,0.6602568987662925,0.26308387022112056,-0.006274606256003745,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.38129045957324764
all_data,37,G2 + species + Physicochemical + Fps,LR,0.375296746803954,0.46895647559063014,0.44072529779729086,0.2072089300740637,0.23351636772322715,-0.012482437827310023,,
all_data,37,G2 + species + Physicochemical + Fps,RF,0.27218387685436973,0.3504982307605747,0.7058286544921129,0.5571411424630891,0.14868751202902375,-0.01990127554680323,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.396157749754797
